,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentiment
12,1420376422305124371,1420376422305124371,2021-07-28 19:01:43 India Standard Time,2021-07-28,19:01:43,530,837599634344329217,wordsmartcomms,Barry Hunt,,I’ve been getting new clients across the UK thanks to @TheCobraClub1 – we meet every Thursday 1pm-2pm  Email barry.hunt@thecobraclub.co.uk   https://t.co/hi6C8oSDix    #Hertfordshire #networking #sales #marketing #WFH #Stevenage #StAlbans #Watford #Welwyn #Herts #businesstips  https://t.co/nOxodbKSRm,en,"[{'screen_name': 'thecobraclub1', 'name': 'the cobra club', 'id': '1249500204069347329'}]",['https://bit.ly/3tEGueh'],['https://pbs.twimg.com/media/E7Yw08dWUAM7nF7.png'],0,0,0,"['hertfordshire', 'networking', 'sales', 'marketing', 'wfh', 'stevenage', 'stalbans', 'watford', 'welwyn', 'herts', 'businesstips']",[],https://twitter.com/WordSmartComms/status/1420376422305124371,False,,1,https://pbs.twimg.com/media/E7Yw08dWUAM7nF7.png,,,,,,,[],,,,,Positive
13,1420376247675375616,1420376247675375616,2021-07-28 19:01:01 India Standard Time,2021-07-28,19:01:01,530,1281125270657916928,team_superpro,Superpro.ai,,"#didyouknow that close to 87% of marketers using video communication as a tool to communicate with clients, increase brand awareness, and grab stakeholder attention.  Read more at  https://t.co/dXaQdpkzZV to know more benefits of video communication.  #businessmeetings  #wfh",en,[],['https://buff.ly/3x6we10'],[],0,0,0,"['didyouknow', 'businessmeetings', 'wfh']",[],https://twitter.com/team_superpro/status/1420376247675375616,False,,0,,,,,,,,[],,,,,Positive
14,1420376108256595971,1420376108256595971,2021-07-28 19:00:28 India Standard Time,2021-07-28,19:00:28,530,278564308,mayamiddlemiss,Maya Middlemiss,,👉 Healthy Happy Homeworking:📚The book series which helps make #WFH better  https://t.co/7zjqIhwXK7 #officeoptional #remotework  https://t.co/WfhxDjUZxR,en,[],['https://bit.ly/3hYJMVS'],['https://pbs.twimg.com/media/E7YwivbXIAgG9i-.jpg'],0,0,0,"['wfh', 'officeoptional', 'remotework']",[],https://twitter.com/mayamiddlemiss/status/1420376108256595971,False,,1,https://pbs.twimg.com/media/E7YwivbXIAgG9i-.jpg,,,,,,,[],,,,,Positive
15,1420376078611369985,1420376078611369985,2021-07-28 19:00:21 India Standard Time,2021-07-28,19:00:21,530,567765621,peakergonomics,Peak Ergonomics,,Will these desk items items relieve work-from-home pain?  https://t.co/2JrQVmnutJ #WFH #Ergonomics #OfficeErgonomics  https://t.co/cqbPYkhkna,en,[],['http://ow.ly/m5JM50FCzY6'],['https://pbs.twimg.com/media/E7Ywg9XXEAAfsup.jpg'],0,0,0,"['wfh', 'ergonomics', 'officeergonomics']",[],https://twitter.com/PeakErgonomics/status/1420376078611369985,False,,1,https://pbs.twimg.com/media/E7Ywg9XXEAAfsup.jpg,,,,,,,[],,,,,Neutral
16,1420376039977623554,1420376039977623554,2021-07-28 19:00:11 India Standard Time,2021-07-28,19:00:11,530,1413097123743154177,cilantr52237383,Cilantro News,,Manhattan Man Finally Emerges from Home Office; Lovingly Gets in Touch with Nature #Parody #Satire #Cilantro #FakeNews #WritingCommunity #QuarantineLife  #WFH #camping #Quarantine #WorkFromHome  https://t.co/mZMNhINDbU,en,[],[],['https://pbs.twimg.com/media/E7Ys41BWQAE0GCT.jpg'],0,0,0,"['parody', 'satire', 'cilantro', 'fakenews', 'writingcommunity', 'quarantinelife', 'wfh', 'camping', 'quarantine', 'workfromhome']",[],https://twitter.com/Cilantr52237383/status/1420376039977623554,False,,1,https://pbs.twimg.com/media/E7Ys41BWQAE0GCT.jpg,,,,,,,[],,,,,Positive
17,1420375993487958019,1420375993487958019,2021-07-28 19:00:00 India Standard Time,2021-07-28,19:00:00,530,260634464,news18tech,News18 Tech,,#MicrosoftTeams now has roughly 250 million monthly active users globally as #WFH and hybrid work continue amid pandemic.   https://t.co/qfTYkFApMV,en,[],['https://www.news18.com/news/tech/microsoft-teams-now-has-roughly-250-million-monthly-active-users-globally-4016969.html'],[],0,0,0,"['microsoftteams', 'wfh']",[],https://twitter.com/News18Tech/status/1420375993487958019,False,,0,,,,,,,,[],,,,,Negative
18,1420375993093476355,1420375993093476355,2021-07-28 19:00:00 India Standard Time,2021-07-28,19:00:00,530,1240177862000295937,sapper_ai,Sapper,,"During your #Virtual onboarding your #hr needs to set up #payroll, providing #access and conducting orientation #remotely. With #sapper now you can #automate your employee #onboarding process and access the new world of work.   #AI #hr #Covid_19 #support #WFH #tech #remotework  https://t.co/wpqmFZ6MHs",en,[],[],['https://pbs.twimg.com/media/E7S-FIAUcAYC2Z_.jpg'],0,0,1,"['virtual', 'hr', 'payroll', 'access', 'remotely', 'sapper', 'automate', 'onboarding', 'ai', 'hr', 'covid_19', 'support', 'wfh', 'tech', 'remotework']",[],https://twitter.com/Sapper_AI/status/1420375993093476355,False,,1,https://pbs.twimg.com/media/E7S-FIAUcAYC2Z_.jpg,,,,,,,[],,,,,Positive
19,1420375966183051264,1420375966183051264,2021-07-28 18:59:54 India Standard Time,2021-07-28,18:59:54,530,189218021,smartremotework,"Remote Working- Hints, Tips, News & Free Resources",,Employers are rethinking return-to-office amid delta variant spread and CDC indoor masking guidance -  https://t.co/ZwSMLqP6vY -   ＊  ＊  ＊  ＊   #RemoteWorking #RemoteWorkers #WorkingFromHome #WFH   https://t.co/ZwSMLqP6vY,en,[],"['https://www.cnbc.com/2021/07/27/return-to-office-plans-in-limbo-as-cdc-recommends-indoor-masking-again.html', 'https://www.cnbc.com/2021/07/27/return-to-office-plans-in-limbo-as-cdc-recommends-indoor-masking-again.html']",[],0,0,0,"['remoteworking', 'remoteworkers', 'workingfromhome', 'wfh']",[],https://twitter.com/smartremotework/status/1420375966183051264,False,,0,,,,,,,,[],,,,,Neutral
21,1420375483833856005,1420375483833856005,2021-07-28 18:57:59 India Standard Time,2021-07-28,18:57:59,530,14464204,adventuresarahb,SarahBRobrtz🗽BlackLivesMatterGoldenRule,,"I don't know about y'all, but WFH + OLYMPICS has been a GIFT! I ❤️all of the athletes! (It's o.k., my boss is watching too.) 🏅🏅🏅 @TeamUSA @NBCOlympics #Olympics #TeamUSA #TokyoOlympics #WFH  https://t.co/NJ1SKgJ6gF",en,"[{'screen_name': 'teamusa', 'name': 'team usa', 'id': '21870081'}, {'screen_name': 'nbcolympics', 'name': '#tokyoolympics', 'id': '14955353'}]",[],['https://pbs.twimg.com/tweet_video_thumb/E7Yv-MEXEAEhOgZ.jpg'],1,0,0,"['olympics', 'teamusa', 'tokyoolympics', 'wfh']",[],https://twitter.com/AdventureSarahB/status/1420375483833856005,False,,1,https://pbs.twimg.com/tweet_video_thumb/E7Yv-MEXEAEhOgZ.jpg,,,,,,,[],,,,,Neutral
22,1420375205436968963,1420375205436968963,2021-07-28 18:56:52 India Standard Time,2021-07-28,18:56:52,530,50317542,scriptkrewe,David Newman,,IMHO Working from home is giving your company rent free space in your home! #WFH,en,[],[],[],0,0,0,['wfh'],[],https://twitter.com/ScriptKrewe/status/1420375205436968963,False,,0,,,,,,,,[],,,,,Positive
23,1420375204841328644,1420375204841328644,2021-07-28 18:56:52 India Standard Time,2021-07-28,18:56:52,530,15281261,zimmergren,Tobias Zimmergren,,"Started drafting thoughts on ""A balanced view on working from home"", which includes the home office setup.   Less ""check my technical coolness"", and more focus on sustainable #WFH over extended periods.  I've been working remotely for close to eight years, and I have some tips.",en,[],[],[],0,0,3,['wfh'],[],https://twitter.com/zimmergren/status/1420375204841328644,False,,0,,,,,,,,[],,,,,Positive
24,1420374387606360067,1420361539039678471,2021-07-28 18:53:37 India Standard Time,2021-07-28,18:53:37,530,1381705437502918664,burningclock,The Stopped Clock's Ghost Ⓥ,,@PinkPlymouth @Valerie4London The government plan to deal with this: • £200B #HS2 • £30B new #roads • #NuclearPower reactors • #ElectricCars • More #AirTravel • More #FossilzFuel licenses &amp; subsidies • #TradeDeals with distant countries • No insulation plan • No #FoodSecurity plan • No #WFH plan etc  https://t.co/XYCRTYXDoW,en,[],[],['https://pbs.twimg.com/media/E7Yu-laWEAAwwPM.jpg'],0,0,0,"['hs2', 'roads', 'nuclearpower', 'electriccars', 'airtravel', 'fossilzfuel', 'tradedeals', 'foodsecurity', 'wfh']",[],https://twitter.com/BurningClock/status/1420374387606360067,False,,1,https://pbs.twimg.com/media/E7Yu-laWEAAwwPM.jpg,,,,,,,"[{'screen_name': 'PinkPlymouth', 'name': 'Burning Pink Plymouth', 'id': '1348746965652303875'}, {'screen_name': 'Valerie4London', 'name': 'Valerie Brown', 'id': '1323711113108869125'}]",,,,,Positive
25,1420374229506138112,1420374229506138112,2021-07-28 18:53:00 India Standard Time,2021-07-28,18:53:00,530,316330918,acism,Acism,,"Dish  4 : Functionality Controller’s Delight This option is best for customers who want to make sure that all the nitty-gritties of functional implementation are taken care of, by doing the design themselves. #softwaredevelopment #WFH",en,[],[],[],0,0,0,"['softwaredevelopment', 'wfh']",[],https://twitter.com/acism/status/1420374229506138112,False,,0,,,,,,,,[],,,,,Positive
26,1420374135331594240,1420365711696973829,2021-07-28 18:52:37 India Standard Time,2021-07-28,18:52:37,530,231268460,gfretless,Greg Dieckhaus,,"@mikebrandesav This question is really employer-dependent. But in a post-pandemic work-from-anywhere or #wfh world, personal days shouldn't really matter any more. If one is sick, has a doctor's appt., having their car serviced, etc., they should be able to separate from work without concern.",en,[],[],[],0,0,0,['wfh'],[],https://twitter.com/Gfretless/status/1420374135331594240,False,,0,,,,,,,,"[{'screen_name': 'mikebrandesav', 'name': 'mike brandes', 'id': '1364934235426029572'}]",,,,,Positive
27,1420373957207904258,1420373957207904258,2021-07-28 18:51:55 India Standard Time,2021-07-28,18:51:55,530,2891966812,wirralhornsteve,WirralHornetSteve 🐝,,Working from home makes you do odd things number 47 - I just chopped my beard off #WFH,en,[],[],[],0,0,0,['wfh'],[],https://twitter.com/WirralhornSteve/status/1420373957207904258,False,,0,,,,,,,,[],,,,,Negative
28,1420373609097347076,1420373609097347076,2021-07-28 18:50:32 India Standard Time,2021-07-28,18:50:32,530,743187456204357632,rels261,ربّكا شكير- شكري,,Huge respect and shout out to our baristas today. Cafe nero don’t pay their staff  for the twenty minutes they get every six hours. Staff: we salute you! #wfh,en,[],[],[],0,0,0,['wfh'],[],https://twitter.com/rels261/status/1420373609097347076,False,,0,,,,,,,,[],,,,,Positive
29,1420373190640087044,1419998018703659034,2021-07-28 18:48:52 India Standard Time,2021-07-28,18:48:52,530,1346433523692019713,lauraapaayne,Laura Payne,,@wirecutter #Restyaboard is worth looking at as you seek to make remote work easier and maximize your WFH productivity.  #remotework #WFH #Productivity  https://t.co/GgWVDxEIK5,en,[],['https://zyndaa.com/'],[],0,0,0,"['restyaboard', 'remotework', 'wfh', 'productivity']",[],https://twitter.com/LauraaPaayne/status/1420373190640087044,False,,0,,,,,,,,"[{'screen_name': 'wirecutter', 'name': 'Wirecutter', 'id': '366309158'}]",,,,,Positive
30,1420372413250945028,1420372413250945028,2021-07-28 18:45:47 India Standard Time,2021-07-28,18:45:47,530,798555557548457984,nugroupsl,Nu Group Services Limited,,Happy Wednesday from us!  How has your week been? Have you been super busy are has your week been relaxed?  Always remember to take a time out!  #WFH #relax #working,en,[],[],[],0,0,0,"['wfh', 'relax', 'working']",[],https://twitter.com/NuGroupSL/status/1420372413250945028,False,,0,,,,,,,,[],,,,,Positive
31,1420372228756189184,1420372228756189184,2021-07-28 18:45:03 India Standard Time,2021-07-28,18:45:03,530,958373820452233216,bluegrass_msp,"BlueGrass Technology, LLC",,Apple’s pushed back the date for its workers to return to the office because of the rise in Covid cases. How’s your office looking at the moment?   #Apple #WFH #BackToWork   https://t.co/c61QLEAdWC,en,[],['http://ow.ly/pCOx50FFnso'],[],0,0,0,"['apple', 'wfh', 'backtowork']",[],https://twitter.com/BlueGrass_MSP/status/1420372228756189184,False,,0,,,,,,,,[],,,,,Neutral
33,1420372150469349377,1420372150469349377,2021-07-28 18:44:44 India Standard Time,2021-07-28,18:44:44,530,2300006894,dragonfitfreak,๔гคɢ๏ภ Ⓥ,,I'm gonna enjoy my life EVEN MORE now! #MyRules #MyWay #WFH #Finally 🥰,en,[],[],[],0,0,0,"['myrules', 'myway', 'wfh', 'finally']",[],https://twitter.com/DragonFitFreak/status/1420372150469349377,False,,0,,,,,,,,[],,,,,Positive
34,1420370836880601090,1419930960204865536,2021-07-28 18:39:31 India Standard Time,2021-07-28,18:39:31,530,1352222846735552517,sheisqueen9,Lee She Is Queen,,@Afrihost Ergonomic office chair #WFH,en,[],[],[],0,0,0,['wfh'],[],https://twitter.com/SheIsQueen9/status/1420370836880601090,False,,0,,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}]",,,,,Neutral
35,1420370775803154434,1420370775803154434,2021-07-28 18:39:16 India Standard Time,2021-07-28,18:39:16,530,844927556205740032,24x7page,24x7,,"""I would stress that the findings of our study in no way endorse mangrove clearing,"" said Dr Thompson.  https://t.co/FE5ppgCUGG via @stcom #WFH #COVID19",en,[],['http://www.straitstimes.com/singapore/environment/mangrove-loss-may-not-mean-release-of-all-carbon-stock-study'],[],0,0,0,"['wfh', 'covid19']",[],https://twitter.com/24x7Page/status/1420370775803154434,False,,0,,,,,,,,[],,,,,Neutral
37,1420370202966044673,1420370202966044673,2021-07-28 18:37:00 India Standard Time,2021-07-28,18:37:00,530,821252198,shuwellness,SHUWellness,,"Wowzer! What a downpour that was (and much needed too) ⛈⛈The air feels much fresher now, but from the hiding place of #Oreo, the SHUWellness cat🐱, it seems he wasn't too impressed 😟 #WFH #Thunderstorm #Hiding  https://t.co/1b8eKkHTvd",en,[],[],['https://pbs.twimg.com/media/E7YdsroWEAEye7n.jpg'],0,0,1,"['oreo', 'wfh', 'thunderstorm', 'hiding']",[],https://twitter.com/SHUWellness/status/1420370202966044673,False,,1,https://pbs.twimg.com/media/E7YdsroWEAEye7n.jpg,,,,,,,[],,,,,Positive
38,1420369962443710464,1420369962443710464,2021-07-28 18:36:02 India Standard Time,2021-07-28,18:36:02,530,20795316,telushealth,TELUS Health,,"The future of work 💻 | ""I share a passion for exploring how technology and digital solutions are transforming healthcare” – Kaleigh Penny, Co-op student at TELUS Health. 👉 for the experiences of 2 students bridging the digital gap with a term of #WFH:  https://t.co/3GHayevajm  https://t.co/4fG9GmNUFN",en,[],['https://bit.ly/2WtaAqj'],['https://pbs.twimg.com/media/E7Yq8qMXsAMdbmP.jpg'],0,0,0,['wfh'],[],https://twitter.com/TELUSHealth/status/1420369962443710464,False,,1,https://pbs.twimg.com/media/E7Yq8qMXsAMdbmP.jpg,,,,,,,[],,,,,Neutral
39,1420369722193948676,1420369722193948676,2021-07-28 18:35:05 India Standard Time,2021-07-28,18:35:05,530,1390348366169743366,logsummerhouse,Log Summer House,,"Garden Offices, Log Cabins, Summer Houses &amp; Gazebos in a Range of Colours, Shapes &amp; Sizes  Fitting Service or Free UK Delivery   https://t.co/nBqjc4bIgE  #gardenoffice #gardenroom #gardenbar #gardengym  #homeextention #gardenbuilding #workingfromhome #wfh #wfhlife #builders #uk  https://t.co/AAZPj3mgyp",en,[],['https://comparepriceswebsite.co.uk/index.php/log-cabin-calculator/'],['https://pbs.twimg.com/media/E7YqvB_WEAMda9b.jpg'],0,0,0,"['gardenoffice', 'gardenroom', 'gardenbar', 'gardengym', 'homeextention', 'gardenbuilding', 'workingfromhome', 'wfh', 'wfhlife', 'builders', 'uk']",[],https://twitter.com/LogSummerHouse/status/1420369722193948676,False,,1,https://pbs.twimg.com/media/E7YqvB_WEAMda9b.jpg,,,,,,,[],,,,,Positive
40,1420369716963577858,1420369716963577858,2021-07-28 18:35:04 India Standard Time,2021-07-28,18:35:04,530,126319868,cylix_elearning,Cylix e-learning,,"Working from home #wfh, in the workplace, or both? @cylix_elearning Information Security online training could help you identify the main #cybersecurity threats such as #phishing &amp; #fraud, and be proactive in securing your data &amp; preventing a #databreach  https://t.co/a6VPjgo2eO  https://t.co/sh6ZGBCNDi",en,"[{'screen_name': 'cylix_elearning', 'name': 'cylix e-learning', 'id': '126319868'}]",['http://bit.ly/cylix_informationsecurity'],['https://pbs.twimg.com/media/E7YquvDXIAMm7Ng.png'],0,1,0,"['wfh', 'cybersecurity', 'phishing', 'fraud', 'databreach']",[],https://twitter.com/cylix_elearning/status/1420369716963577858,False,,1,https://pbs.twimg.com/media/E7YquvDXIAMm7Ng.png,,,,,,,[],,,,,Positive
41,1420369579675512835,1420369579675512835,2021-07-28 18:34:31 India Standard Time,2021-07-28,18:34:31,530,1359182738805301249,angelaladisla,Anj,,Wrapping myself up. Final interview in 56 mins 🙏🏼 #wfh #interview,en,[],[],[],0,0,0,"['wfh', 'interview']",[],https://twitter.com/angelaladisla/status/1420369579675512835,False,,0,,,,,,,,[],,,,,Neutral
42,1420369338473881604,1420369338473881604,2021-07-28 18:33:34 India Standard Time,2021-07-28,18:33:34,530,1349001316161507329,remoteworkexpo,Remote Working Expo 2022,,The positives of a work from home environment can far outweigh the negatives;  Productivity ✅  Performance ✅  Profitability ✅  Engagement ✅  Retention ✅  Do you agree or disagree?   #rwe2021 #futureofwork #tech #wfh #productivity #exhibition  https://t.co/kV2YkQ93pO,en,[],[],['https://pbs.twimg.com/media/E7YqYv6XIAER7z-.jpg'],0,1,2,"['rwe2021', 'futureofwork', 'tech', 'wfh', 'productivity', 'exhibition']",[],https://twitter.com/RemoteWorkExpo/status/1420369338473881604,False,,1,https://pbs.twimg.com/media/E7YqYv6XIAER7z-.jpg,,,,,,,[],,,,,Positive
43,1420369028967804936,1420369028967804936,2021-07-28 18:32:20 India Standard Time,2021-07-28,18:32:20,530,43946567,workingsol,Working Solutions,,Want a job with flexible hours while working from home? We've got the job for you! We are hiring customer service reps for our senior living client.   https://t.co/86FOGrdWwC #jobs #customerservice #hiring #wfh #workfromhome  https://t.co/RR3Ei8FyaW,en,[],['https://bit.ly/2W6zKe9'],['https://pbs.twimg.com/media/E7YqGvXXMAc19SB.jpg'],0,0,0,"['jobs', 'customerservice', 'hiring', 'wfh', 'workfromhome']",[],https://twitter.com/WorkingSol/status/1420369028967804936,False,,1,https://pbs.twimg.com/media/E7YqGvXXMAc19SB.jpg,,,,,,,[],,,,,Neutral
44,1420368989126074371,1420368989126074371,2021-07-28 18:32:10 India Standard Time,2021-07-28,18:32:10,530,1457426977,paultessier_cx,Paul Tessier,,No more silos! New @Verint blog from @JenniferLSnell—why enterprises need to operationalize #AI across their entire business #IntelligentSelfService #ConversationalAI #WFH #MachineLearning #Cloud #CX #Automation  https://t.co/TQlUtsbvxH  https://t.co/pMmjRYQgaP,en,"[{'screen_name': 'verint', 'name': 'verint', 'id': '19303263'}, {'screen_name': 'jenniferlsnell', 'name': 'jennifer snell', 'id': '138133115'}]",['https://infl.tv/jOdv'],['https://pbs.twimg.com/media/E7YqEavXEAUOsH5.jpg'],0,1,2,"['ai', 'intelligentselfservice', 'conversationalai', 'wfh', 'machinelearning', 'cloud', 'cx', 'automation']",[],https://twitter.com/PaulTessier_cx/status/1420368989126074371,False,,1,https://pbs.twimg.com/media/E7YqEavXEAUOsH5.jpg,,,,,,,[],,,,,Negative
45,1420368969630879747,1420368969630879747,2021-07-28 18:32:06 India Standard Time,2021-07-28,18:32:06,530,23972634,eleap,eLeaP,,Tips to Help Create Psychological Safety in the Workplace -  https://t.co/8v1jHw51Ou #worksafety #employeewellness #antiharassment #productiveworkplace #wfh  https://t.co/yfAh7VvvKo,en,[],['https://j.mp/3kWGUMd'],['https://pbs.twimg.com/media/E7YqCreXIAIeVb-.jpg'],0,0,0,"['worksafety', 'employeewellness', 'antiharassment', 'productiveworkplace', 'wfh']",[],https://twitter.com/eLeaP/status/1420368969630879747,False,,1,https://pbs.twimg.com/media/E7YqCreXIAIeVb-.jpg,,,,,,,[],,,,,Neutral
46,1420368958423711748,1420368958423711748,2021-07-28 18:32:03 India Standard Time,2021-07-28,18:32:03,530,1029004962712506368,wearewurkr,Wurkr,,Wurkr has been featured in @FinancialExpres !  Read the full article here:  https://t.co/kYtxprlSlC #remoteworking #futureofwork #wfh #virtualoffice,en,"[{'screen_name': 'financialexpres', 'name': 'financial express', 'id': '41768146'}]",['https://hubs.ly/H0TdzSw0'],[],0,0,1,"['remoteworking', 'futureofwork', 'wfh', 'virtualoffice']",[],https://twitter.com/WeAreWurkr/status/1420368958423711748,False,,0,,,,,,,,[],,,,,Positive
47,1420368889918148613,1420368889918148613,2021-07-28 18:31:47 India Standard Time,2021-07-28,18:31:47,530,38145772,kurmanath,Kurmanath,,"The price organisations pay for neglecting security, while letting staff to work from home   https://t.co/pjsdH4sKh9  @businessline @IBM #CyberSecurity #CyberAttack #data #databreach #privacy #WFH #WorkFromHome @YouTube",en,"[{'screen_name': 'businessline', 'name': 'business line', 'id': '9294762'}, {'screen_name': 'ibm', 'name': 'ibm', 'id': '18994444'}, {'screen_name': 'youtube', 'name': 'youtube', 'id': '10228272'}]",['https://www.thehindubusinessline.com/multimedia/video/watch-remote-work-increasing-costs-of-data-breaches/article35579386.ece?homepage=true'],[],0,4,3,"['cybersecurity', 'cyberattack', 'data', 'databreach', 'privacy', 'wfh', 'workfromhome']",[],https://twitter.com/Kurmanath/status/1420368889918148613,False,,0,,,,,,,,[],,,,,Neutral
